Tree,Nitrogen,Acclimation,Photo,Cond,Ci,Trmmol,VPD,LA,StmRat,BLCond,Tair,Tleaf,Tleaf_Target,TBlk,CO2R,CO2_Target,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,Press
tree29,HN,10,3.758148869,0.028655251,82.83819297,0.38639056,1.283330498,2,0.5,7.713084698,15.86850357,20.18005562,18C,14.26102161,300.0404358,300,297.4618835,11.0304575,11.28479862,58.85928345,60.21646118,300.4077454,1001.728577,96.55250549
tree29,HN,10,2.06318404,0.029174399,82.37533026,0.363173963,1.185306179,2,0.5,7.713084698,14.91623878,19.63819504,18C,13.30446243,200.1220093,200,198.7003937,11.24851418,11.48752117,63.8106308,65.16647339,300.4112854,1000.894287,96.5608139
tree29,HN,10,0.104166447,0.031522444,92.84366139,0.371064056,1.121425146,2,0.5,7.713084698,14.43724251,19.24605751,18C,12.81766224,100.0655594,100,99.97151184,11.33279133,11.57697296,66.30467987,67.73331451,300.4060974,1000.565979,96.55753326
tree29,HN,10,-0.983500559,0.034114526,95.67240203,0.387182954,1.081813133,2,0.5,7.713084698,14.13557148,18.97078705,18C,12.5209322,50.06307602,50,50.70478821,11.33765984,11.59244537,67.64192963,69.16201019,300.4052429,999.5855713,96.55862427
tree29,HN,10,6.125287392,0.036412962,121.2027835,0.404803308,1.060264749,2,0.5,7.713084698,13.96642494,18.80733109,18C,12.35287094,400.2419434,400,396.0572205,11.31587887,11.58226013,68.26726532,69.87430573,300.4075928,998.1847534,96.57372284
tree29,HN,10,5.585876351,0.038022864,155.0163068,0.417871709,1.048426678,2,0.5,7.713084698,13.837286,18.69808769,18C,12.22725582,399.7552795,500,395.926178,11.27672958,11.55172539,68.60118103,70.27409363,300.4006348,998.2731934,96.56993103
tree29,HN,10,9.332542824,0.03936871,205.5411877,0.429229063,1.040420411,2,0.5,7.713084698,13.76794052,18.61344528,18C,12.15588093,599.8692627,600,593.4863281,11.23323059,11.51570797,68.64851379,70.37479401,300.403656,998.3527832,96.57466125
tree29,HN,10,11.66440741,0.040079433,314.8086737,0.434566792,1.034971438,2,0.5,7.713084698,13.7019434,18.54009056,18C,12.08921146,800.1717529,800,792.1769409,11.18270874,11.46870518,68.64138031,70.39686584,300.4113464,998.4088135,96.58559418
tree29,HN,10,13.45556802,0.040117278,439.3130137,0.436684247,1.039037487,2,0.5,7.713084698,13.68341351,18.54902267,18C,12.07312775,1000.10791,1000,990.8619385,11.15173531,11.43912792,68.53314209,70.29930878,300.417572,998.2536621,96.58467865
tree29,HN,10,14.70327359,0.040316157,588.0825326,0.439047034,1.039473765,2,0.5,7.713084698,13.65782452,18.53007698,18C,12.04575729,1199.908081,1200,1189.771118,11.12027931,11.40925407,68.44787598,70.22657776,300.3984375,998.4655151,96.57652283
