Tree,Acc_Temp,Leaf_Temp,Nitrogen,CO2,Photo,Cond,Total_mg,N_mg,C_mg,N_Percent,C_Percent,CN,LMA,SLA
tree15,6,2,HN,2000,0.769441173,0.042829034,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree15,6,6,HN,2000,1.544957052,0.044179481,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree15,6,10,HN,2000,1.625605947,0.044207079,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree15,6,18,HN,2000,2.306532664,0.044310826,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree15,6,14,HN,2000,1.711486037,0.045435618,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree15,6,6,HN,400,0.147470515,0.043443275,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree15,6,10,HN,400,0.06065022,0.04402146,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree15,6,18,HN,400,-0.027744765,0.044695686,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree15,6,14,HN,400,0.30942839,0.044797909,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree15,6,2,HN,400,-0.079919865,0.045066073,1.549,0.039,0.728,2.53,46.97,18.66666667,4.0558378,0.246558183
tree16,6,6,LN,2000,4.65307414,0.049059822,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree16,6,10,LN,2000,7.052416807,0.050393353,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree16,6,2,LN,2000,3.323269777,0.052202095,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree16,6,14,LN,2000,9.547144458,0.05228689,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree16,6,18,LN,2000,12.03470941,0.055114799,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree16,6,6,LN,400,2.981836825,0.042608112,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree16,6,10,LN,400,3.827617839,0.048652726,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree16,6,14,LN,400,4.715378766,0.051151909,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree16,6,2,LN,400,1.715135509,0.05715799,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree16,6,18,LN,400,5.69954288,0.06198902,2.43,0.059,1.142,2.44,46.99,19.3559322,5.917436987,0.168992083
tree17,6,2,HN,2000,3.874781873,0.028542032,2.382,0.063,1.157,2.62,48.59,18.36507937,5.652985693,0.17689767
tree17,6,18,HN,2000,14.92994502,0.028822846,2.382,0.063,1.157,2.62,48.59,18.36507937,5.652985693,0.17689767
