Tree,Acc_Temp,Leaf_Temp,Nitrogen,Vcmax,Vcmax_DW,Vcmax_N,Jmax,Jmax_DW,Jmax_N,Rd,Rd_DW,Rd_N
tree15,6,2,HN,2.259344464,0.055705986,2.212527491,3.23278266,0.079706901,3.165794602,0.305356384,0.007528811,0.299028947
tree16,6,2,LN,6.333914421,0.107038137,4.40851989,19.06707804,0.322218518,13.27103387,0.483368219,0.00816854,0.336433091
tree17,6,2,HN,6.539848977,0.115688405,4.374123489,22.49660185,0.397959645,15.04666468,0.457742432,0.008097357,0.306157211
tree18,6,2,LN,7.42916141,0.119328067,5.856434358,20.10365819,0.32290733,15.84778524,0.400249031,0.006428847,0.315517734
tree19,6,2,HN,5.458949724,0.097570014,3.904791778,16.27948462,0.290969806,11.64473038,0.515349251,0.009211045,0.368629795
tree20,6,2,LN,9.346271129,0.145801923,8.944387204,31.41910678,0.49013838,30.06810446,0.520506678,0.008119909,0.49812521
tree21,6,2,HN,4.03483674,0.064791324,2.89870748,14.8530789,0.238510429,10.6707492,0.768724069,0.012344155,0.552266759
tree22,6,2,LN,5.588032816,0.085686599,4.289226329,19.73098193,0.302553831,15.14498035,0.683485306,0.010480528,0.52462526
tree23,6,2,HN,6.120252642,0.076616211,3.507820656,21.83366603,0.273324137,12.51395803,0.455020046,0.005696156,0.26079458
tree24,6,2,LN,3.571344884,0.057184731,2.818947328,21.0534988,0.337110728,16.61802657,0.299876863,0.004801658,0.236699929
tree25,6,2,HN,2.575161326,0.060056666,2.160324074,13.21374956,0.308164672,11.08512348,,,
tree26,6,2,LN,4.778034522,0.069791885,3.484424502,17.0394063,0.248891524,12.42613977,0.232703539,0.003399059,0.169701142
tree27,6,2,HN,3.544079675,0.054639594,2.898774238,13.71349594,0.211422969,11.21654489,0.82007159,0.012643163,0.670753091
tree28,6,2,LN,3.159452304,0.053212235,2.2415654,11.90388586,0.200488031,8.445558316,0.197095,0.00331952,0.139834785
tree29,10,2,HN,5.167088262,0.075945078,3.254246587,18.15581865,0.266851463,11.43458518,0.089449719,0.001314718,0.056335682
tree30,10,2,LN,4.085168782,0.052837434,3.403611382,13.32587791,0.172356452,11.1026281,0.277169837,0.003584905,0.230927646
tree31,10,2,HN,5.984760144,0.078762179,4.520471701,24.4919536,0.322325302,18.49951886,1.423411486,0.018732746,1.075146069
tree32,10,2,LN,2.952008473,0.046819607,2.835187322,24.2874467,0.385205098,23.32630871,0.41806545,0.006630625,0.401521159
tree33,10,2,HN,5.679445138,0.083518876,3.901524637,17.08075302,0.251180399,11.73371291,0.392938685,0.005778346,0.269931292
tree34,10,2,LN,4.888550865,0.072379918,4.211606498,20.61088347,0.305164885,17.75678174,0.570501503,0.008446849,0.491501041
tree35,10,2,HN,4.014212004,0.060617122,2.999425009,10.46257141,0.157991399,7.817648472,0.39885835,0.006023012,0.298027535
tree36,10,2,LN,3.034792169,0.049433988,2.255602234,11.06667905,0.180266076,8.22528351,0.298337016,0.004859637,0.221738294
tree37,10,2,HN,4.273573263,0.056997745,3.108277023,14.79420024,0.197314051,10.7601929,0.56586475,0.007547084,0.411567626
tree38,10,2,LN,3.989769521,0.055348888,3.845429858,15.98539625,0.221760655,15.40708547,0.345594704,0.004794333,0.333091971
tree39,10,2,HN,2.181894849,0.042481637,1.866083603,5.642151362,0.109853059,4.825496585,0.451735305,0.008795316,0.386350353
tree40,10,2,LN,5.084878478,0.062734022,4.945532075,16.09703137,0.198595016,15.65590708,0.592376316,0.007308365,0.576142789
tree41,10,2,HN,4.088968059,0.062015281,3.627893934,16.07268943,0.243766235,14.26032477,0.545837338,0.008278435,0.484288441
tree42,10,2,LN,3.204023558,0.039461969,3.078033541,13.45157971,0.165674754,12.92263081,0.600338165,0.007393992,0.576731404
tree15,6,6,HN,2.60686786,0.06427446,2.552849686,7.579563824,0.186880346,7.422504005,0.275428397,0.006790912,0.269721111
tree16,6,6,LN,8.240489545,0.139257747,5.73553093,26.38683958,0.445916691,18.36572132,0.602317858,0.010178695,0.419224208
tree17,6,6,HN,9.756767404,0.172594942,6.525732571,35.06819509,0.6203482,23.45507005,0.785028647,0.013886974,0.525059869
tree18,6,6,LN,11.09386565,0.178190979,8.745333738,41.09478476,0.660069282,32.39516496,0.771140514,0.01238615,0.607892809
tree19,6,6,HN,6.689521701,0.119564524,4.78502105,22.97241019,0.410595168,16.43218622,0.608699881,0.010879539,0.435403587
tree20,6,6,LN,9.456216104,0.147517066,9.049604612,31.3419979,0.488935481,29.99431121,0.652891389,0.010185112,0.62481746
tree21,6,6,HN,7.966454037,0.127925152,5.723260045,28.52750715,0.458094111,20.49473217,0.763100826,0.012253857,0.548226909
tree22,6,6,LN,9.058019428,0.13889519,6.95269636,31.57061803,0.484102184,24.23277217,0.666788307,0.010224497,0.511809085
tree23,6,6,HN,10.01724157,0.125400558,5.741378492,35.7962652,0.448114544,20.51661685,0.618205211,0.007738985,0.3543241
tree24,6,6,LN,6.924216736,0.110871251,5.465448704,29.07561656,0.46556168,22.95007463,0.620142234,0.00992978,0.489492992
tree25,6,6,HN,3.155408041,0.073588899,2.647097828,12.96383318,0.302336243,10.87546656,1.383327398,0.032261292,1.160484763
tree26,6,6,LN,8.885277007,0.129785633,6.479667899,32.14918933,0.46959739,23.44508448,0.837081275,0.012227095,0.610449023
tree27,6,6,HN,8.323215529,0.128320229,6.807725833,29.50499069,0.454882749,24.13272691,0.865507297,0.013343652,0.707915872
tree28,6,6,LN,3.737248252,0.06294361,2.651499553,12.19477252,0.205387212,8.651936321,0.578859374,0.009749285,0.410688632
tree29,10,6,HN,9.870074159,0.14506885,6.216200211,35.09965495,0.515889393,22.10586051,0.287284379,0.004222462,0.180932503
tree30,10,6,LN,8.226224435,0.106397707,6.853785635,27.15620236,0.351237398,22.62554239,0.615954334,0.007966732,0.513190347
tree31,10,6,HN,9.337949402,0.122891682,7.053237724,33.54058973,0.441409489,25.33422945,1.281143672,0.016860436,0.967686854
tree32,10,6,LN,5.761083917,0.09137226,5.533097967,24.55099061,0.389384972,23.57942328,0.40324492,0.006395567,0.387287128
tree33,10,6,HN,7.835407534,0.115223303,5.382574317,26.39539225,0.388156491,18.1324532,0.211026526,0.003103243,0.144965779
tree34,10,6,LN,8.36587441,0.123865195,7.207406039,29.47712798,0.436438563,25.3952689,0.702629645,0.010403139,0.605332676
tree35,10,6,HN,5.48289995,0.082795233,4.096830764,17.85104463,0.269561984,13.33832634,0.547065311,0.00826103,0.40876799
tree36,10,6,LN,5.586748666,0.091003024,4.152337976,19.41382541,0.316233452,14.42928066,0.484406656,0.007890541,0.360034123
tree37,10,6,HN,7.977820286,0.10640224,5.802468791,26.44592791,0.352716137,19.23478668,0.834501253,0.011129958,0.606953692
tree38,10,6,LN,8.045235726,0.111609166,7.754179662,28.42579783,0.394342651,27.39742512,0.790339074,0.010964139,0.761746627
tree39,10,6,HN,2.940355405,0.057248914,2.514763262,9.659166917,0.188064617,8.261082339,0.702071944,0.013669387,0.600452833
tree40,10,6,LN,8.213207547,0.101329372,7.988132174,27.68484224,0.341558115,26.92616469,0.385022832,0.004750169,0.374471637
tree41,10,6,HN,7.426923958,0.112640346,6.589460221,26.75110891,0.405720346,23.73464021,0.700211388,0.010619747,0.621255194
tree42,10,6,LN,6.926884507,0.085314135,6.65450252,24.77972142,0.305196441,23.80532236,0.867571291,0.010685337,0.833456273
tree15,6,10,HN,3.050433474,0.075210933,2.987223962,12.90173418,0.31810281,12.63439109,0.336485195,0.008296318,0.329512722
tree16,6,10,LN,11.49175701,0.194201592,7.998472351,36.26392774,0.612831658,25.24035472,0.831338046,0.014048955,0.578626433
tree17,6,10,HN,15.19310206,0.268762435,10.1617797,51.32252918,0.907883583,34.32664595,1.186828704,0.020994723,0.793800488
tree18,6,10,LN,16.58668782,0.266417337,13.07534499,65.70268012,1.055324201,51.79365638,1.128948191,0.018133299,0.889953874
tree19,6,10,HN,9.624326243,0.172019471,6.884289448,33.30044789,0.595192359,23.81984112,0.759413016,0.013573296,0.543208832
tree20,6,10,LN,11.31201006,0.17646747,10.82560056,35.828793,0.558929529,34.28817688,0.870268156,0.013576192,0.832847159
tree21,6,10,HN,13.6908866,0.21984797,9.835806986,46.26886798,0.74298451,33.24048092,0.90082058,0.014465358,0.647167536
tree22,6,10,LN,13.80427427,0.21167401,10.59579616,46.01580181,0.705603866,35.32051352,0.747288963,0.011458889,0.573599262
tree23,6,10,HN,15.15526786,0.189720796,8.68623646,52.27268399,0.654374131,29.9600705,0.884601364,0.011073857,0.507008961
tree24,6,10,LN,11.72735988,0.187779659,9.25668365,39.02289293,0.624838464,30.80169609,1.06686212,0.017082703,0.842099607
tree25,6,10,HN,3.956839494,0.092279496,3.319425283,13.84691435,0.322931035,11.61629064,0.61397357,0.014318794,0.515067492
tree26,6,10,LN,15.97288342,0.233313017,11.6483684,53.66092693,0.783815447,39.13271195,1.876827766,0.027414484,1.368693471
tree27,6,10,HN,14.96227106,0.230675518,12.23794324,49.44034449,0.762229009,40.43825481,0.987422725,0.01522324,0.80763296
tree28,6,10,LN,4.811316306,0.081033315,3.413528398,14.94628004,0.251728746,10.60407342,1.122511847,0.018905607,0.796398703
tree29,10,10,HN,16.98385242,0.249626081,10.69647759,56.60763964,0.832010483,35.6516492,0.7284089,0.010706043,0.458753955
